 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Procedimento: 0303010010 TRATAMENTO DE DENGUE CLÁSSICA, 0303010029 TRATAMENTO DE DENGUE HEMORRÁGICA
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";277,60;1308,00;1324,00;3141,78;8786,08;37401,87;97479,62;105860,41;208225,86;287249,12;276184,03;141202,95;55861,72;20192,99;11203,69;11259,45;10531,41;9858,92;9177,38;13608,06;23519,74;28276,19;27643,27;20614,68;14034,74;14296,24;10603,79;5988,61;7989,58;5556,22;7705,76;8846,44;18571,19;21634,20;42933,12;44831,25;60557,80;44331,92;38372,39;37353,60;45503,89;56016,26;70036,63;123715,79;176329,16;151844,94;118645,41;93988,17;44209,75;32938,58;19948,44;32761,22;50156,38;43263,83;45042,53;57301,14;111924,88;89696,14;67173,21;51119,87;38634,39;24031,93;19129,17;11583,03;14549,41;17628,42;40529,21;44960,68;50406,63;77415,32;51783,95;51144,37;42457,73;27711,81;18143,07;16519,23;26238,78;32841,28;30406,96;41835,12;60514,19;68271,09;56271,36;30754,67;35085,39;15165,91;8973,67;5214,37;6514,72;9343,78;7915,26;27827,73;38040,27;33677,02;17715,01;8376,61;9624,09;7126,13;6454,78;5157,64;2375,49;7381,78;36590,54;126328,99;213102,87;160474,13;89969,92;27482,35;13717,29;15937,83;8474,92;2382,08;3803,23;1871,97;2925,60;5519,58;5978,50;6396,44;9606,47;26598,46;6590,68;4367,05;5681,44;2818,90;6994,90;1846,56;2826,13;8218,01;25532,78;50753,40;76571,59;58997,57;52248,18;39751,38;11401,86;9003,84;7445,36;7767,69;3140,96;15031,58;6512,91;27069,62;45407,13;38495,63;44838,09;27208,83;24501,76;10926,20;2757,84;4009,37;6173,33;6474,94;6282,85;4976,06;3423,90;6631,61;2636,14;624,93;895,28;1114,28;311,76;3898,70;615,52;303,76;1631,22;5853016,03
"25 Paraíba";-;-;261,60;-;2452,67;9388,28;42957,88;61512,96;103985,61;215690,49;151758,08;82633,69;40831,66;25506,75;19610,15;11397,38;8987,80;7050,24;11454,64;19292,43;23384,76;23956,45;24879,49;21807,30;22000,80;11536,04;10298,06;9542,58;16966,20;15737,23;14188,84;26955,16;55081,51;58624,75;77314,29;113944,54;110099,36;93571,36;60752,58;53628,31;55375,34;53665,48;64450,56;113297,62;166712,81;166399,84;104173,92;99157,01;64790,83;29272,54;12060,20;13906,55;9347,22;13480,85;22551,97;19243,27;55905,90;80154,38;86913,70;69191,01;38096,23;31994,76;14555,27;12368,50;16650,69;17148,24;32470,12;42202,16;44204,48;59535,67;80450,30;67194,99;72721,30;75919,23;40834,81;22876,27;22157,76;17386,11;21783,28;25456,45;30566,16;35749,55;49651,49;43894,57;32750,99;21974,35;16771,82;17344,81;14483,37;15299,63;10752,71;13494,71;48944,60;56922,63;50146,81;27289,34;25501,48;12627,87;9650,33;6228,37;6061,33;14160,69;50922,01;107611,55;154672,65;135096,35;131682,63;91510,15;33177,41;12571,87;9967,48;10836,85;7764,01;7916,93;5038,30;3874,58;7297,14;7896,07;7353,79;9076,30;12874,76;16119,00;10612,11;17244,10;18226,88;13687,32;17094,63;17561,18;29892,28;63472,85;138594,16;150831,39;91680,56;29928,67;13591,75;14118,28;6685,58;7754,51;8479,43;12030,03;32122,67;57175,63;105415,92;84470,54;96628,93;41931,24;21538,80;16449,46;6843,48;8072,29;5953,80;11207,92;8360,11;7985,90;10835,69;23032,15;20999,54;12229,67;7046,72;3869,06;3149,68;3399,35;1648,27;5734,01;2820,19;6359033,71
"26 Pernambuco";-;285,60;808,80;2598,71;5291,46;12782,70;23799,27;29618,20;102778,50;271731,67;235379,83;119008,72;43067,83;29567,69;15144,54;12701,63;9032,82;10223,50;12077,26;15450,33;27359,71;21777,94;20150,32;20081,13;19070,96;13079,43;8904,83;10676,01;13243,27;12109,15;27920,00;58266,35;98973,02;163801,05;314275,58;356549,78;337665,53;181035,21;137762,67;76590,25;63515,61;86146,87;90302,75;160683,59;264992,51;246241,28;198506,19;159415,30;109584,33;76246,56;48296,35;48342,75;53999,78;78489,81;88724,10;146273,70;208762,97;214078,70;128637,80;60443,36;46107,17;23072,25;18729,94;14036,67;15922,48;15266,35;16459,95;12896,12;25159,09;37055,75;55573,22;29289,09;24710,33;16383,48;13126,48;13592,33;11993,65;12659,37;25969,99;16388,42;17648,28;21324,76;45590,47;33743,66;22948,92;23982,03;17337,47;19633,28;26683,72;22278,77;12630,36;15951,69;46261,05;65352,91;52923,96;40224,73;17163,41;15801,38;17803,96;45173,48;141998,69;251627,95;236099,17;266949,70;222313,42;98159,98;42042,50;20528,02;16399,62;9672,75;5431,27;11925,60;9796,85;7046,36;8020,09;22394,75;13666,82;16530,91;30456,20;26625,85;24548,62;44269,18;16135,87;15529,00;9129,24;10678,00;32300,31;24754,14;53567,28;90276,63;74481,23;69966,86;47469,94;26520,36;30836,09;29189,98;19613,46;24526,90;20874,38;35751,96;60701,02;105499,83;152655,65;126785,44;119588,56;58807,53;45602,55;29327,33;12173,73;12985,84;16928,52;29323,39;29578,02;17640,91;21992,01;29020,21;29853,11;12938,72;9347,85;7033,23;11612,11;8359,97;7065,26;13680,53;7334,60;9561117,83
"27 Alagoas";-;-;261,60;261,60;3255,26;6726,38;10838,38;10495,44;25037,22;135375,18;94665,71;47180,78;23791,00;14860,78;7516,80;6861,46;4801,62;6599,62;6532,13;6275,08;12401,67;6827,33;10359,84;10119,96;15006,91;12549,04;10811,42;8968,80;8641,04;7338,58;15372,55;43830,60;190070,22;201588,77;157332,50;116094,16;73507,97;42616,64;34701,99;21554,79;15700,91;19375,52;18577,63;21863,91;34923,55;42664,93;29392,32;16098,38;12586,59;18958,22;14295,67;21727,52;22656,79;31332,00;46247,27;41591,24;56864,44;61546,74;68124,18;34335,06;27163,54;20376,18;11509,25;9027,23;11058,37;6827,72;8144,36;9535,85;20548,36;21206,38;23732,18;15721,37;16138,71;7308,86;14990,38;12051,82;15808,92;25935,72;14231,32;10190,91;10576,57;18767,73;22663,47;30246,38;28910,66;16050,43;17712,55;19545,89;19409,59;17597,79;16661,06;15711,78;32182,11;33828,94;39759,58;24653,49;30002,13;17626,02;38781,15;40387,79;72860,80;73177,73;40372,39;48433,02;49021,92;33371,22;23858,40;20989,95;17211,81;21691,93;6802,04;10440,20;7258,60;8681,04;6916,61;15633,19;6462,99;6252,59;4650,60;3505,79;6973,17;3531,31;6214,60;2685,86;3179,99;3605,50;4418,94;2438,08;4604,78;3574,73;7407,56;7262,47;4141,24;3267,49;2158,32;3451,07;8055,36;7362,58;5884,21;9292,82;22152,17;27688,19;86487,76;100646,75;112890,81;80889,34;55730,09;48319,19;27826,78;25135,75;14880,75;8336,47;7236,13;13877,42;8728,33;7340,43;13269,43;6784,49;8982,04;17491,60;1101,76;1228,51;623,52;2224,40;1531,53;4110982,77
"28 Sergipe";-;-;261,60;523,20;784,80;8412,87;14562,20;33356,01;94912,47;352582,21;215847,01;69663,12;25271,21;9152,40;5255,32;3186,80;8517,49;7749,39;8495,84;13782,60;26217,66;20195,42;13773,70;7029,04;4619,55;2613,42;2974,17;4508,28;2158,20;1407,84;2708,92;2347,55;4425,18;10102,15;5974,85;7443,36;6339,12;5460,42;4783,53;5842,68;9617,48;10236,11;26637,41;17536,44;26671,59;36851,93;23459,51;24158,09;21983,52;24682,30;14510,73;15847,67;11518,35;12435,73;23095,28;20444,66;33660,76;42712,60;42384,79;21044,24;13006,42;3986,35;4280,26;3452,89;2296,83;889,73;583,52;1606,68;5970,14;2311,49;8466,50;15155,58;6733,42;4370,87;3221,61;24311,31;2559,80;2147,27;2300,85;2480,80;10827,56;8056,52;17173,40;6096,49;6157,61;10193,40;30977,03;3624,51;2517,23;1984,94;4640,41;4979,04;7793,00;13109,82;4431,30;719,40;4440,23;5227,68;6854,03;12497,65;12728,02;8536,60;4220,30;3295,58;9797,54;3329,26;7235,28;3328,17;4276,70;863,28;824,56;431,64;1809,48;1584,09;880,69;2342,38;431,64;1294,92;1233,66;6689,16;867,99;431,64;1415,84;1611,37;1438,80;295,76;357,71;719,40;1195,46;1151,04;1151,04;-;-;-;919,28;-;584,93;771,67;3086,64;3076,78;11599,42;16983,84;52353,74;90439,10;82968,23;72806,83;47193,61;36844,90;13136,53;12912,49;6639,68;6415,66;7458,34;3343,64;3862,53;2150,08;1630,71;1530,86;2097,58;325,71;1446,80;1151,04;575,52;287,76;287,76;2315815,00
"29 Bahia";-;-;261,60;4545,90;9569,68;21398,58;66151,65;78076,71;260821,35;606251,08;402104,71;189462,81;119800,90;81408,96;41924,55;59476,57;88135,84;142147,88;377544,63;743316,36;1490255,96;1263873,60;621434,63;313026,00;173986,24;118396,78;84438,47;74282,61;99909,74;142131,21;187167,13;298305,43;515570,82;566657,31;660196,14;439739,61;226070,98;162965,75;111939,50;99814,92;136616,79;191171,73;227234,05;270453,04;453900,38;479836,65;398125,02;235018,48;151111,68;114856,04;102786,58;103211,94;128872,61;169015,22;294691,17;359577,69;562294,87;547603,98;481047,85;274021,50;176611,19;128987,43;94711,86;71195,35;94413,80;143497,74;314079,68;426985,56;596148,76;545864,09;308421,85;229920,30;132423,11;79621,58;67568,32;48898,38;49703,39;86742,32;83762,69;72232,15;99329,77;155056,07;150587,25;99244,16;68443,59;58264,57;59962,51;70072,52;50990,46;44480,23;77225,47;119537,58;250487,39;310356,40;363985,71;266309,70;257470,98;175350,23;126257,15;135425,13;154883,49;204722,68;270644,72;554840,80;670381,79;384428,35;229766,40;113149,72;104653,17;72107,95;71474,93;89236,96;72040,96;58873,28;104486,42;72182,93;92701,86;62684,68;44512,03;44445,61;38928,18;19725,06;19068,81;14508,24;21163,25;20221,84;28156,54;23870,44;42339,95;34754,51;46394,19;25183,04;21856,37;25536,43;19166,26;21209,68;22521,78;17981,91;30506,11;59937,63;100635,06;134539,67;264629,03;220035,97;154030,63;94698,37;84960,82;66690,10;74209,37;43589,22;70961,01;145056,15;158926,30;182115,27;181646,25;105096,63;58044,53;39325,47;27490,52;21646,08;10809,20;12266,23;22694,54;19867,56;15171,32;29649020,53
"31 Minas Gerais";-;-;-;-;515,28;9357,12;21777,75;32716,13;110471,96;286912,02;191113,24;83378,41;14406,98;7903,59;11825,29;16905,79;17407,78;30614,49;76007,25;143766,63;274053,74;211311,28;177650,06;66547,88;30002,92;10043,91;8901,01;11155,44;24430,92;50742,12;179282,64;379018,16;615641,08;656949,17;496011,63;148424,96;54888,26;37472,03;29244,69;22316,42;37755,17;51053,88;60651,39;123091,77;145483,75;153787,77;154666,78;59773,94;23541,95;31007,47;20801,54;26599,97;20840,32;37645,59;45893,98;64861,73;78822,37;77490,20;53551,05;46324,47;29612,88;17176,29;12023,09;15969,39;23796,40;81606,15;273054,96;429272,58;765038,36;657937,36;310379,47;91616,06;57069,88;16890,90;19196,33;29320,40;39245,30;29338,73;46777,38;78243,16;118516,28;185515,53;129857,14;82130,36;36613,96;9410,07;20968,29;28147,66;28095,70;26997,64;70582,73;150256,86;298328,49;444749,40;471978,14;190471,56;75546,93;26222,99;32103,57;47738,15;86105,99;257942,99;443591,19;842762,02;1166677,28;963547,52;336628,62;56530,53;17844,06;22064,17;19689,36;23086,54;27251,82;46518,60;169595,69;108520,32;110156,34;53292,83;50826,18;18239,95;11439,87;7989,14;15535,09;20599,40;9382,73;18432,06;51951,98;53272,45;68758,11;102986,27;83987,49;26520,90;17225,45;14728,32;21012,23;18855,94;27933,62;56345,58;188688,37;318848,14;622352,53;1084494,42;1334050,59;543914,13;113667,56;31959,11;34495,76;35539,15;28888,78;41917,46;158913,54;214746,25;203783,93;242359,16;142451,47;46865,09;30799,76;13900,39;9078,85;13096,57;12436,91;11576,66;16768,78;20944,21;18020,94;22332996,78
"32 Espírito Santo";-;-;-;-;1308,00;5665,99;20849,40;22038,67;85015,98;146569,28;104922,79;66404,96;21431,05;12229,51;6946,69;8273,89;6994,74;36419,29;78660,92;144487,57;231398,44;241150,04;232878,02;132144,10;45031,16;27051,35;13801,33;8460,80;11267,70;23449,65;35042,16;37751,32;60688,61;92316,64;124722,85;85463,95;51055,60;38038,07;34072,88;31900,64;33698,75;67004,65;99956,39;135786,07;161312,95;190766,38;211545,92;110407,35;48327,72;24923,80;30718,18;21086,30;37828,11;52646,25;58646,26;40476,37;36226,00;39773,26;34309,74;27300,28;16719,91;25174,15;16571,73;14782,59;18874,73;37080,58;31895,99;57448,63;100547,77;122430,30;57949,57;37541,20;27082,69;14301,30;10707,52;16045,73;12458,37;16535,10;26324,09;26962,51;21990,70;27612,58;28946,27;24454,41;24418,59;17802,98;14920,33;14678,80;20069,42;22615,47;29356,21;27154,28;37456,86;56879,95;64445,62;70728,74;83713,34;45084,10;43104,33;61922,14;66582,81;95629,55;121132,60;163590,84;115655,36;86495,19;39506,32;21093,19;13955,58;10769,80;12667,41;14253,06;12800,54;23513,74;61105,26;40610,15;42679,83;36157,05;32755,55;10156,49;5201,43;6266,51;6985,72;7706,97;7702,84;11177,22;15801,26;21291,79;21776,70;28285,78;29171,13;25689,28;23297,06;23044,25;8924,83;16659,35;20993,15;44257,24;42114,34;65498,51;96522,77;97662,50;126998,51;120688,07;97713,07;46314,90;16945,41;23701,79;20329,44;37651,92;50081,43;85665,15;72805,79;25651,87;13962,20;3222,77;5277,30;3296,36;21112,50;3045,54;4045,93;4946,23;3935,89;993,69;1425,74;7650386,80
"33 Rio de Janeiro";-;-;-;2469,36;6041,84;65112,42;338982,89;535874,10;1528259,36;1711485,38;672260,64;161877,59;33522,07;16083,30;15066,52;14203,13;26020,64;29943,19;46350,52;57155,50;78823,24;47362,01;41709,12;24707,39;16267,77;5674,64;5667,50;5368,30;12926,81;20420,58;61004,45;104339,01;153592,74;288027,17;335185,22;218388,51;127719,24;104698,82;61054,68;39315,16;41133,86;96668,94;229320,88;476549,24;572223,27;867328,35;639260,81;238970,21;73487,94;43323,87;32376,35;40616,62;45562,86;62228,95;92604,85;97385,81;206960,72;259278,31;225329,09;142985,01;56578,64;30784,24;21339,86;24634,35;38292,29;89443,47;170139,87;238831,79;387595,16;309682,42;140823,14;42115,12;24355,92;13573,56;14790,40;10908,34;11025,39;21989,71;30369,08;14751,70;14455,22;13000,16;12587,43;12402,60;15732,99;7798,94;14344,93;13646,44;11443,12;8904,86;51343,01;41446,93;92705,28;117108,84;117895,04;80088,96;92124,23;52800,59;40954,28;65325,15;47818,58;122006,58;156339,16;185222,63;174344,90;128620,60;63643,70;20172,45;9878,07;5865,12;3606,66;4260,92;13028,60;19153,34;23784,10;17244,75;15937,95;10545,30;6467,26;7642,87;14253,59;1518,15;5913,72;6823,29;6064,68;10026,60;20982,44;11363,67;16489,11;32511,60;25736,97;10790,08;11466,90;3761,31;4551,20;5505,44;10444,12;11603,88;10711,00;12725,50;22052,41;50643,69;47233,44;31121,52;13679,18;4836,25;7084,06;3835,43;7920,16;6445,78;14902,83;17292,55;17884,27;9767,35;4768,15;5388,29;-;1179,74;295,10;1979,36;1212,50;615,52;4463,95;1822,56;2134,32;15612075,40
"35 São Paulo";-;-;-;261,60;2632,13;10983,62;28188,97;26966,36;67098,55;97984,36;28421,18;15756,90;8779,73;8400,38;7645,92;10904,79;12284,48;13496,02;19496,21;26225,90;45057,30;65755,69;39786,62;18495,42;8734,12;7986,33;10670,33;5844,41;15560,21;29853,88;102360,88;406628,98;763954,31;634713,71;352184,03;63553,60;31333,49;19644,73;17116,97;18024,18;29027,61;27427,00;57150,67;108572,33;171243,21;328758,33;266604,25;63013,69;28329,48;24215,38;31237,31;32975,95;27858,99;27727,81;30442,19;44062,48;54586,62;84211,20;50204,26;31107,08;15665,38;19167,62;13638,15;22011,10;39814,91;29596,29;90082,79;183877,81;365966,80;402743,32;213126,06;63916,09;24388,45;22203,30;14605,62;14028,85;13790,34;18426,57;47384,81;87591,23;249897,21;553960,36;364484,73;117873,10;52414,17;23564,71;25111,81;35598,17;40229,31;53185,70;275008,22;674755,35;1405344,38;1509125,57;858938,83;257634,19;77885,23;35156,57;32421,78;41950,14;59994,89;134199,19;261261,14;415057,64;428757,83;323448,84;149374,61;27708,07;16660,19;19238,22;15929,29;30955,22;28638,72;31059,18;36799,80;52606,94;39280,65;28153,97;18206,87;7344,57;9718,26;16130,58;22309,17;30936,87;27358,14;30767,83;43474,27;32607,23;34769,76;38983,99;31978,95;22468,47;18437,20;11581,23;7254,30;22162,04;29389,03;83554,03;201504,08;430861,94;616313,11;1034071,02;1145629,88;465228,00;137824,19;54321,19;31438,11;52932,67;50803,40;80440,53;494851,10;729551,40;507729,90;336377,67;141008,17;43707,66;25621,52;18440,77;24537,05;14823,70;20318,35;17497,92;58851,80;97692,39;87899,28;22506941,13
"41 Paraná";-;-;-;-;1308,00;1855,20;7424,86;5372,14;15377,08;18702,12;6629,09;2181,92;2652,94;2844,20;2156,80;2623,53;3827,07;4820,04;5918,26;3434,70;11793,74;9754,97;6414,65;879,28;2036,76;303,76;1151,04;1480,21;2342,83;6068,11;15564,46;79506,62;188450,95;203962,78;102340,37;21907,10;9813,93;20104,72;8905,77;7203,70;11689,98;14954,56;41554,31;119375,10;157343,57;141763,56;44305,03;10126,28;1552,21;4919,74;12435,25;14926,48;17448,41;17661,94;14740,36;10645,35;14335,57;15143,50;9433,93;3609,81;2644,72;2124,27;1882,99;3900,78;4138,59;8939,21;55373,76;144454,89;323015,33;310371,91;140451,74;43375,15;12983,16;2444,43;4607,12;6128,20;9646,01;14558,82;46293,14;69318,55;97506,53;162172,39;123466,25;31900,47;16036,09;5426,83;7752,69;11251,56;9900,27;14638,39;30925,02;63373,41;216505,36;273691,70;133554,40;59034,85;17172,19;18346,61;10741,09;22970,35;25330,16;36494,03;135129,64;219487,63;240205,95;191072,63;35953,28;5574,40;2326,08;4619,23;3040,45;7624,00;13717,09;11975,15;22614,76;28378,51;16314,79;5274,78;4153,16;2351,49;2237,56;4003,38;13215,18;7538,31;10395,09;8325,74;9647,28;12867,77;12413,15;14269,43;4926,05;1001,11;1778,01;287,76;2909,60;2867,30;8883,85;2647,25;11129,02;38642,10;63808,72;128601,89;141828,96;80290,61;26912,81;8264,89;5479,71;10100,86;34021,72;93079,54;349310,13;880146,31;820934,37;404898,99;147748,44;42579,63;23706,07;13403,97;11587,49;15463,59;20058,00;15469,62;20515,41;28876,00;22546,39;8589354,13
"42 Santa Catarina";-;-;-;-;-;353,15;1346,93;2803,65;706,30;612,53;654,00;392,40;-;-;-;-;287,76;-;970,23;388,47;388,47;-;1259,31;-;-;287,76;-;-;388,47;319,76;5538,40;1764,93;3641,70;879,28;758,87;1109,37;936,72;-;-;-;287,76;599,52;287,76;979,99;855,44;2475,75;719,40;-;-;2528,73;1788,34;287,76;420,87;287,76;575,52;-;676,23;431,64;863,28;287,76;2129,96;388,47;-;287,76;287,76;287,76;2864,38;1064,70;1989,95;4248,71;608,93;1043,02;-;734,88;-;-;325,71;856,91;388,47;289,17;-;1936,23;327,12;442,63;287,76;303,76;-;865,56;1258,20;-;3126,60;5115,15;5736,32;9257,62;5763,03;2919,74;731,64;599,52;1291,98;389,91;1986,26;4485,45;13809,44;28359,26;46729,70;38846,43;9535,23;287,76;930,42;575,52;990,80;1905,38;1271,86;2214,42;4420,07;2287,47;2082,34;619,54;592,93;2130,81;629,47;-;1454,80;677,58;1509,51;2005,30;1942,36;1556,16;1347,59;1720,09;1417,36;584,86;-;287,76;-;639,64;-;1015,36;2939,79;6756,40;8002,46;7694,50;12668,44;5302,50;1545,58;1416,42;1329,75;-;1732,01;1259,04;4825,77;10956,29;13232,37;18106,97;10399,58;4549,14;1782,56;774,91;933,23;774,52;4453,99;719,40;2023,73;1158,52;3117,35;407595,43
"43 Rio Grande do Sul";-;-;-;-;-;281,60;1421,44;1845,30;864,98;523,20;311,94;-;261,60;-;-;261,60;-;-;-;863,28;1761,87;287,76;-;-;-;-;-;-;-;303,76;2379,36;11014,67;61333,83;10334,09;1199,04;970,64;324,46;2401,81;311,76;287,76;1654,96;1314,29;2082,75;8346,20;3832,47;5085,53;693,71;287,76;-;-;-;1246,61;-;1171,10;303,76;1064,08;1215,16;639,64;575,52;289,17;287,76;-;-;287,76;287,76;-;1381,35;1832,57;8165,76;7882,30;4107,81;-;287,76;-;-;575,52;613,47;-;1712,44;3711,97;2103,34;828,16;879,28;-;295,76;-;-;-;575,52;287,76;2035,07;1220,99;16844,30;26398,49;7684,30;2465,39;327,76;287,76;695,64;1271,67;1600,33;1510,80;7302,94;12473,60;19592,03;20994,09;4285,29;1215,04;303,76;1021,59;739,56;287,76;1252,99;3605,39;5185,17;3092,41;2489,56;287,76;967,68;1051,32;865,50;325,71;325,71;1151,04;1490,95;575,52;1901,15;1478,80;287,76;287,76;381,71;-;-;-;-;295,76;303,76;-;1228,99;1799,97;4106,18;7546,53;8856,63;9713,51;922,69;7127,21;613,47;-;287,76;1902,05;2127,58;4961,02;13706,64;31387,04;5703,23;-;2621,41;349,71;303,76;287,76;287,76;341,71;-;2599,91;886,73;433283,33
"50 Mato Grosso do Sul";-;-;-;523,20;2781,18;1016,06;4716,80;6940,15;16203,44;19585,11;3721,59;2105,93;2519,20;3451,28;2054,78;1154,72;1739,63;9130,51;4260,90;12522,31;36914,13;51115,45;36285,11;8860,98;5888,50;4011,35;8722,54;14488,47;32297,68;74446,31;185675,88;268893,39;403876,82;260895,30;125984,29;27501,28;17417,02;7836,37;10757,17;9786,09;12200,99;21710,98;35577,74;41751,99;64250,24;55336,59;37450,82;13773,82;2941,08;6405,64;6637,11;9373,96;8773,05;7071,60;22557,58;12458,10;26259,07;38416,42;31007,26;16901,11;7215,75;2520,70;6410,72;7894,61;17600,69;49722,43;158388,39;200741,56;196234,89;127706,77;80365,58;28324,56;14865,45;10799,06;5350,93;3767,55;6967,83;8947,63;15637,06;12409,37;20117,14;18324,38;10822,60;4692,16;5803,14;3320,32;5647,50;9090,17;6639,56;9065,52;31314,18;50924,04;100765,86;175304,13;117069,36;59041,01;28781,18;20112,57;18707,53;25255,66;64019,12;105827,60;200060,77;198907,31;140363,74;100097,91;31599,22;7596,40;4093,42;4314,26;5162,92;4420,29;7452,65;8014,83;16788,98;11448,10;11490,21;6515,28;11210,73;9107,68;3805,88;15902,45;6527,63;8520,78;4482,55;6922,31;7405,46;11276,58;8925,61;7562,26;10931,01;6371,72;4280,01;5243,51;2635,85;5912,63;14800,63;55220,16;42775,08;83625,71;202909,13;326955,82;273882,85;129679,91;61632,98;17980,01;23768,54;12000,32;21670,59;61838,72;259632,71;390509,45;323808,99;134378,27;83296,92;29913,61;8684,66;9944,42;16628,74;5671,16;9502,41;11436,92;27133,71;24675,19;16986,40;7585747,28
"51 Mato Grosso";-;-;-;1910,71;2487,90;9140,71;36083,32;33467,47;37569,78;36823,71;16483,20;12810,89;4471,20;2493,95;3002,10;3812,88;4633,36;8272,87;15552,41;42288,21;148345,95;352536,97;411245,33;176767,82;88157,19;72114,85;71223,47;100835,16;264029,33;499912,13;511495,55;376434,99;238723,52;102017,43;59740,07;35816,92;24970,10;15372,80;17512,30;16106,45;31835,94;57896,02;62435,10;27755,73;35399,44;35362,60;20713,30;12631,93;8430,13;5939,14;13324,40;16407,90;27021,19;43068,55;70019,97;139245,75;159616,57;154985,41;100283,90;77225,86;61506,88;36531,77;22228,65;40618,58;50060,97;67874,90;129904,56;116954,02;90225,04;80203,29;38943,38;23622,58;17311,92;14227,14;12117,89;13371,05;18339,86;15227,21;15407,53;20101,66;23776,86;21104,75;19472,18;10315,35;9163,03;5729,44;4906,71;11150,78;10791,80;14921,62;14868,98;21779,53;26349,80;48934,39;59972,62;43938,06;23474,80;16495,55;8581,07;7937,23;12536,99;54970,54;58778,85;62190,09;31238,56;19419,84;10575,20;4389,85;3706,01;2148,67;5392,69;7705,76;11855,36;10777,19;13817,06;36471,32;18229,88;17318,40;9136,16;9671,55;5846,69;7505,41;6978,43;5011,92;4001,83;4952,78;18825,97;25224,99;17543,26;12902,66;11481,55;9103,55;5147,87;3771,15;2642,54;4784,18;7615,54;7388,19;16069,65;21899,61;27740,60;26514,95;48035,84;35994,38;12029,75;15659,01;9520,97;10175,60;19875,53;38799,01;97990,62;135588,50;116475,60;74830,88;58290,79;44247,50;28465,54;7997,87;7842,46;8136,11;9482,44;7350,06;16932,06;33018,48;21565,80;7754293,35
